# Phase B slice DAG. slice <tab> comma-separated deps ("-" = root).
# Checked by scripts/check-phaseb-manifest.py: acyclic, and no slice may be an
# orphan (unreachable from the S19 exit demonstration) unless listed as terminal.
# Round 5 caught S2b as exactly such an orphan: it owned the exit-criterion-fatal
# live-tail requirement, yet nothing depended on it, so S19 could pass without it.
#slice	deps
S0	-
S1	-
S2	-
S1b	S1
S2b	S2
S3	-
S4	-
S5	-
S6	S1
S7	S0,S1,S1b,S2,S2b
S7b	S2,S7
S8	S6,S7
S9	S8
S10	S8,S9
S11	S8
S12	S0,S8
S13	S8
S14	S13,S0,S7
S15	S14,S7
S16	S13,S14,S5,S3,S10,S11,S12
S17	S13,S12,S14,S15
S18	S16,S17,S4
S18b	S7,S10,S16
S19	S9,S10,S11,S16,S17,S18,S18b,S7b,S15,S4
S20	S19
S21	S19
#terminal: S20,S21
