# PB-DOC-7 ownership manifest -- exactly one owning slice per requirement.
# Enforced by scripts/check-phaseb-manifest.py. Rounds 2, 3 and 4 each found
# homeless requirements by hand; this makes that class of error mechanical.
#requirement	slice
PB-APP-1	S16
PB-APP-2	S16
PB-APP-3	S16
PB-APP-4	S16
PB-APP-5	S16
PB-APP-6	S16
PB-APP-7	S16
PB-APP-8	S16
PB-APP-9	S16
PB-APP-10	S16
PB-BIND-0	S1
PB-BIND-1	S8
PB-BIND-2	S8
PB-BIND-3	S8
PB-BIND-4	S8
PB-BIND-5	S8
PB-BIND-6	S8
PB-BIND-7	S8
PB-DOC-1	S0
PB-DOC-2	S20
PB-DOC-3	S20
PB-DOC-4	S20
PB-DOC-5	S2
PB-DOC-7	S20
PB-E2E-1	S19
PB-E2E-2	S19
PB-E2E-3	S19
PB-E2E-4	S19
PB-E2E-5	S21
PB-GW-1	S2
PB-GW-2	S7b
PB-GW-3	S2
PB-GW-4	S2
PB-GW-5	S2
PB-GW-6	S7
PB-GW-7	S2b
PB-GW-8	S2b
PB-INPUT-1	S11
PB-INPUT-2	S11
PB-INPUT-3	S11
PB-INPUT-4	S11
PB-INPUT-5	S11
PB-INPUT-6	S11
PB-KEY-1	S14
PB-KEY-2	S14
PB-KEY-3	S10
PB-KEY-4	S10
PB-KEY-5	S14
PB-KEY-6	S14
PB-KEY-7	S14
PB-KEY-8	S14
PB-LIFE-1	S4
PB-LIFE-2	S4
PB-LIFE-3	S4
PB-LIFE-4	S4
PB-LIFE-5	S4
PB-LIFE-6	S4
PB-NET-1	S9
PB-NET-2	S6
PB-NET-3	S6
PB-NET-4	S6
PB-NET-5	S6
PB-NET-6	S6
PB-NET-7	S6
PB-OPS-1	S20
PB-OPS-2	S20
PB-OPS-3	S20
PB-OPS-4	S4
PB-PAIR-1	S3
PB-PAIR-2	S16
PB-PAIR-3	S16
PB-PAIR-4	S16
PB-PAIR-5	S16
PB-PAIR-6	S16
PB-PAIR-7	S3
PB-PUSH-0	S12
PB-PUSH-1	S12
PB-PUSH-2	S12
PB-PUSH-3	S12
PB-PUSH-4	S17
PB-PUSH-5	S12
PB-PUSH-6	S12
PB-PUSH-7	S12
PB-PUSH-8	S12
PB-PUSH-9	S17
PB-PUSH-10	S12
PB-RUN-1	S13
PB-RUN-2	S13
PB-RUN-3	S13
PB-RUN-4	S13
PB-RUN-5	S13
PB-SAS-1	S8
PB-SAS-2	S8
PB-SAS-3	S16
PB-SEC-1	S14
PB-SEC-2	S14
PB-SEC-3	S18
PB-SEC-4	S18
PB-SEC-5	S18
PB-SEC-6	S18
PB-SEC-7	S18
PB-SEC-8	S18
PB-SEC-10	S15
PB-SEC-11	S18
PB-SEC-12	S18
PB-SEC-13	S18
PB-SEC-14	S18
PB-STATE-1	S7
PB-STATE-2	S7
PB-STATE-3	S7
PB-STATE-4	S7
PB-STATE-5	S7
PB-STATE-6	S15
PB-STATE-7	S7
PB-STATE-8	S7
PB-STATE-9	S15
PB-STATE-10	S18b
PB-SYNC-1	S10
PB-SYNC-2	S10
PB-SYNC-3	S10
PB-SYNC-4	S10
PB-SYNC-5	S10
PB-SYNC-6	S10
PB-SYNC-7	S1b
PB-SYNC-8	S10
PB-TIME-1	S11
PB-TIME-2	S11
PB-TIME-3	S11
PB-TOK-1	S5
PB-TOK-2	S5
PB-TOK-3	S5
PB-TOOL-1	S13
PB-TOOL-2	S13
PB-TOOL-3	S13
PB-TOOL-4	S13
PB-TOOL-5	S13
PB-TOOL-6	S13
PB-TOOL-7	S13
